%time,field.header.seq,field.header.stamp,field.header.frame_id,field.connected,field.armed,field.guided,field.mode,field.system_status
1536681798921389600,833,1536681798920870784,,1,1,1,GUIDED,4
1536681799899100608,834,1536681799898300192,,1,1,1,GUIDED,4
1536681800899846400,835,1536681800899379648,,1,1,1,GUIDED,4
1536681801914357824,836,1536681801913861536,,1,1,1,GUIDED,4
1536681802909972384,837,1536681802909729504,,1,1,1,GUIDED,4
1536681803911569696,838,1536681803911328928,,1,1,1,GUIDED,4
1536681804905584608,839,1536681804905309216,,1,1,1,GUIDED,4
1536681805910156640,840,1536681805909822496,,1,1,1,GUIDED,4
1536681806904756096,841,1536681806904219296,,1,1,1,GUIDED,4
1536681807900067648,842,1536681807899628768,,1,1,1,GUIDED,4
1536681808902304800,843,1536681808900483968,,1,1,1,GUIDED,4
1536681809913090880,844,1536681809911353888,,1,1,1,GUIDED,4
1536681810908805120,845,1536681810908479936,,1,1,1,GUIDED,4
1536681811919556032,846,1536681811918797216,,1,1,1,GUIDED,4
1536681812912086368,847,1536681812911486624,,1,1,1,GUIDED,4
1536681813924170624,848,1536681813923693984,,1,1,1,GUIDED,4
1536681814913647712,849,1536681814913366208,,1,1,1,GUIDED,4
1536681815918353952,850,1536681815917993312,,1,1,1,GUIDED,4
1536681816882628320,851,1536681816881474528,,1,1,1,GUIDED,4
1536681817884410528,852,1536681817884138432,,1,1,1,GUIDED,4
1536681818919888160,853,1536681818918979840,,1,1,1,GUIDED,4
1536681819938261024,854,1536681819937667520,,1,1,1,GUIDED,4
1536681820929428512,855,1536681820928959936,,1,1,1,GUIDED,4
1536681821915505920,856,1536681821915192992,,1,1,1,GUIDED,4
1536681822903781632,857,1536681822903290656,,1,1,1,GUIDED,4
1536681823928964384,858,1536681823928604736,,1,1,1,GUIDED,4
1536681824892302880,859,1536681824891922784,,1,1,1,GUIDED,4
1536681825922541248,860,1536681825921789184,,1,1,1,GUIDED,4
1536681826904431936,861,1536681826904034624,,1,1,1,GUIDED,4
1536681827907300800,862,1536681827906889344,,1,1,1,GUIDED,4
1536681828891990528,863,1536681828890551136,,1,1,1,GUIDED,4
1536681829899785344,864,1536681829899418976,,1,1,1,GUIDED,4
1536681830910449408,865,1536681830909900832,,1,1,1,GUIDED,4
1536681831915307808,866,1536681831914172480,,1,1,1,GUIDED,4
1536681832924074592,867,1536681832923744896,,1,1,1,GUIDED,4
1536681833921267744,868,1536681833920165856,,1,1,1,GUIDED,4
1536681834906540448,869,1536681834906211264,,1,1,1,GUIDED,4
1536681835905781728,870,1536681835905368800,,1,1,1,GUIDED,4
1536681836919588480,871,1536681836917896128,,1,1,1,GUIDED,4
1536681837913852896,872,1536681837911954368,,1,1,1,GUIDED,4
1536681838937801696,873,1536681838937471808,,1,1,1,GUIDED,4
1536681839912784960,874,1536681839912222976,,1,1,1,GUIDED,4
1536681840893792064,875,1536681840893462432,,1,1,1,GUIDED,4
1536681841912732928,876,1536681841912300768,,1,1,1,GUIDED,4
1536681842929745056,877,1536681842929156384,,1,1,1,GUIDED,4
1536681843882836032,878,1536681843882619936,,1,1,1,GUIDED,4
1536681844908943232,879,1536681844908064672,,1,1,1,GUIDED,4
1536681845910526720,880,1536681845910114176,,1,1,1,GUIDED,4
1536681846898062880,881,1536681846897689312,,1,1,1,GUIDED,4
1536681847898852064,882,1536681847896218848,,1,1,1,GUIDED,4
1536681848915290368,883,1536681848915033312,,1,1,1,GUIDED,4
1536681849890727968,884,1536681849890422720,,1,1,1,GUIDED,4
1536681850922028192,885,1536681850920269472,,1,1,1,GUIDED,4
1536681851913586656,886,1536681851913191712,,1,1,1,GUIDED,4
1536681852950803936,887,1536681852950493568,,1,1,1,GUIDED,4
1536681853903943648,888,1536681853903748448,,1,1,1,GUIDED,4
1536681854935021440,889,1536681854934066880,,1,1,1,GUIDED,4
1536681855931984128,890,1536681855931737728,,1,1,1,GUIDED,4
1536681856881772672,891,1536681856881264160,,1,1,1,GUIDED,4
1536681857887455488,892,1536681857887048192,,1,1,1,GUIDED,4
1536681858914535392,893,1536681858913961536,,1,1,1,GUIDED,4
1536681859912542112,894,1536681859911035712,,1,1,1,GUIDED,4
1536681860908026240,895,1536681860907744864,,1,1,1,GUIDED,4
1536681861916699616,896,1536681861916315968,,1,1,1,GUIDED,4
1536681862899346272,897,1536681862899091456,,1,1,1,GUIDED,4
1536681863914446560,898,1536681863911896704,,1,1,1,GUIDED,4
1536681864910582816,899,1536681864910063936,,1,1,1,GUIDED,4
1536681865900963200,900,1536681865897814112,,1,1,1,GUIDED,4
1536681866923294112,901,1536681866915712960,,1,1,1,GUIDED,4
1536681867894800064,902,1536681867894089824,,1,1,1,GUIDED,4
1536681868880789952,903,1536681868880459232,,1,1,1,GUIDED,4
1536681869903218304,904,1536681869903024992,,1,1,1,GUIDED,4
1536681870911125728,905,1536681870910790528,,1,1,1,GUIDED,4
1536681871909471872,906,1536681871907767904,,1,1,1,GUIDED,4
1536681872916574944,907,1536681872916093728,,1,1,1,GUIDED,4
1536681873912220224,908,1536681873911769664,,1,1,1,GUIDED,4
1536681874901323392,909,1536681874901015872,,1,1,1,GUIDED,4
1536681875911210752,910,1536681875910839552,,1,1,1,GUIDED,4
1536681876908321184,911,1536681876908063200,,1,1,1,GUIDED,4
1536681877913636352,912,1536681877913272320,,1,1,1,GUIDED,4
1536681878880242944,913,1536681878879986304,,1,1,1,GUIDED,4
1536681879905783008,914,1536681879905407872,,1,1,1,GUIDED,4
1536681880922842080,915,1536681880920800352,,1,1,1,GUIDED,4
1536681881896714176,916,1536681881896384544,,1,1,1,GUIDED,4
1536681882949692320,917,1536681882948939840,,1,1,1,GUIDED,4
1536681883888565760,918,1536681883888208416,,1,1,1,GUIDED,4
1536681884880873504,919,1536681884880670464,,1,1,1,GUIDED,4
1536681885906197344,920,1536681885905904192,,1,1,1,GUIDED,4
1536681886909432800,921,1536681886907989920,,1,1,1,GUIDED,4
1536681887945803776,922,1536681887945545760,,1,1,1,GUIDED,4
1536681888907377056,923,1536681888906621888,,1,1,1,GUIDED,4
1536681889916934848,924,1536681889916642528,,1,1,1,GUIDED,4
1536681890900165664,925,1536681890899855296,,1,1,1,GUIDED,4
1536681891882393792,926,1536681891881248000,,1,1,1,GUIDED,4
1536681892927897024,927,1536681892926711552,,1,1,1,GUIDED,4
1536681893910880480,928,1536681893909882336,,1,1,1,GUIDED,4
1536681894883486400,929,1536681894882688352,,1,1,1,GUIDED,4
1536681895908484736,930,1536681895907199456,,1,1,1,GUIDED,4
1536681896898135744,931,1536681896897891648,,1,1,1,GUIDED,4
1536681897887859488,932,1536681897887535808,,1,1,1,GUIDED,4
1536681898939899488,933,1536681898939622336,,1,1,1,GUIDED,4
1536681899890677664,934,1536681899890290784,,1,1,1,GUIDED,4
1536681900871269408,935,1536681900870990240,,1,1,1,GUIDED,4
1536681901941353600,936,1536681901940945344,,1,1,1,GUIDED,4
1536681902905725120,937,1536681902905337792,,1,1,1,GUIDED,4
1536681903919258720,938,1536681903918584992,,1,1,1,GUIDED,4
1536681904891011936,939,1536681904890663520,,1,1,1,GUIDED,4
1536681905910298624,940,1536681905909868576,,1,1,1,GUIDED,4
1536681906945949536,941,1536681906945717088,,1,1,1,GUIDED,4
1536681907915697056,942,1536681907914893248,,1,1,1,GUIDED,4
1536681908889048960,943,1536681908888591904,,1,1,1,GUIDED,4
1536681909878517184,944,1536681909878135008,,1,1,1,GUIDED,4
1536681910901312544,945,1536681910900948960,,1,1,1,GUIDED,4
1536681911915110624,946,1536681911913781824,,1,1,1,GUIDED,4
1536681912912458080,947,1536681912911891744,,1,1,1,GUIDED,4
1536681913904027616,948,1536681913895708000,,1,1,1,GUIDED,4
1536681914884216000,949,1536681914878444160,,1,1,1,GUIDED,4
1536681915923513376,950,1536681915923247808,,1,1,1,GUIDED,4
1536681916904463520,951,1536681916904139712,,1,1,1,GUIDED,4
1536681917891612288,952,1536681917890701056,,1,1,1,GUIDED,4
1536681918913538496,953,1536681918913301312,,1,1,1,GUIDED,4
1536681919914467840,954,1536681919914098624,,1,1,1,GUIDED,4
1536681920904183744,955,1536681920903932576,,1,1,1,GUIDED,4
1536681921916639488,956,1536681921915719104,,1,1,1,GUIDED,4
1536681922894558784,957,1536681922894328288,,1,1,1,GUIDED,4
